,Population2010,MHLTH_AdjPrev,Latitude,Longitude,E_GR_AV14,E_GR_AT14,SDG_A2G14,SDG_OS15MX,P15,B15,BUCAP15,GDP15_SM,E_WR_T_14,State,INCM_CMI,DEV_CMI,E_BM_NM_LST,Cities in Urban Center_copy
73,150441,14.7,36.68899056,-121.6408306,0.339630554,53.88627551,0.076113535,24.61,149784.336,41.04495621,274.0270265,4813837312.0,15.27411008,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",Salinas
74,209924,16.0,33.95381355,-117.9539253,0.293597406,5618.920221,0.019451497,17.76,14281719.8,4632.77002,324.3846039,564483000000.0,17.60802174,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",Los Angeles; Long Beach; Anaheim; Santa Ana; Riverside; Irvine; Glendale; San Bernardino; Fontana; Huntington Beach; Ontario; Garden Grove; Rancho Cucamonga; Pomona; Corona; Torrance; Pasadena; Fullerton; Orange; Inglewood; Downey; El Monte; Costa Mesa; N
75,1307402,10.7,32.82158244,-117.1106947,0.272433307,1770.677568,0.00713453,34.67,4437234.748,1160.308838,261.4936788,134122000000.0,18.3498106,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",Tijuana; San Diego; Chula Vista; Oceanside; Escondido; El Cajon; Vista; Poway
76,805235,9.8,37.32711544,-121.9332989,0.306727058,1713.386499,0.042396863,23.88,4604961.31,1307.057861,283.8368823,176059000000.0,15.53486609,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto
77,945942,10.2,37.32711544,-121.9332989,0.306727058,1713.386499,0.042396863,23.88,4604961.31,1307.057861,283.8368823,176059000000.0,15.53486609,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto
78,97207,9.8,37.32711544,-121.9332989,0.306727058,1713.386499,0.042396863,23.88,4604961.31,1307.057861,283.8368823,176059000000.0,15.53486609,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto
79,324528,14.6,33.95381355,-117.9539253,0.293597406,5618.920221,0.019451497,17.76,14281719.8,4632.77002,324.3846039,564483000000.0,17.60802174,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",Los Angeles; Long Beach; Anaheim; Santa Ana; Riverside; Irvine; Glendale; San Bernardino; Fontana; Huntington Beach; Ontario; Garden Grove; Rancho Cucamonga; Pomona; Corona; Torrance; Pasadena; Fullerton; Orange; Inglewood; Downey; El Monte; Costa Mesa; N
80,88410,11.1,34.42766353,-119.7436927,0.362784899,59.5762836,0.061348029,36.5,114753.1502,38.10174942,332.0322742,4159701504.0,15.37690687,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",Santa Barbara
81,116468,8.7,37.32711544,-121.9332989,0.306727058,1713.386499,0.042396863,23.88,4604961.31,1307.057861,283.8368823,176059000000.0,15.53486609,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto
82,176320,11.1,34.42012237,-118.5319524,0.316168443,113.7670846,0.01629567,37.04,199622.2104,71.78395081,359.5990179,6775972352.0,16.24344993,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",Santa Clarita
83,99553,15.0,34.92312304,-120.4343724,0.312845526,54.45069388,0.040129424,23.64,123181.2848,42.0008049,340.9674201,4174295040.0,14.71819115,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",Santa Maria
84,167815,12.2,38.44448407,-122.7137258,0.432148958,80.42357608,0.21543074,33.06,165225.2385,62.12906647,376.0264898,5611033088.0,15.28851104,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",Santa Rosa
85,124237,10.8,34.27227869,-118.740073,0.311866029,52.87671423,0.021186876,20.79,109579.4602,41.97615814,383.0659328,2892286720.0,16.24344993,CA,HIC,MDR,"Mediterranean Forests, Woodlands, and Scrub",Simi Valley
86,291707,13.8,37.97378272,-121.2952444,0.371861084,184.5447727,0.106627354,23.19,365617.9699,142.0906219,388.6313957,13534003200.0,17.04826498,CA,HIC,MDR,"Temperate Grasslands, Savannas, and Shrublands",Stockton
